Postdate,Display name,Username,Content,Likes,Comments,Retweets,Reach
2023-03-11T12:48:01.000Z,Naija Loud Mouth,@naija_loudmouth,"God's will is Godswill Akpabio!! #GodswillAkapabio for Senate 
akwa ibom apc tinubu shettima 2023 Elections obi nigeria lagos akawibomtwitter",,,,25
2023-03-11T12:42:02.000Z,Naija Loud Mouth,@naija_loudmouth,"God's will is Godswill Akpabio!! #GodswillAkapabio for Senate 
akwa ibom apc tinubu shettima 2023 Elections obi nigeria lagos akawibomtwitter",,,,23
2023-03-11T12:36:02.000Z,Naija Loud Mouth,@naija_loudmouth,"God's will is Godswill Akpabio!! #GodswillAkapabio for Senate 
akwa ibom apc tinubu shettima 2023 Elections obi nigeria lagos akawibomtwitter",,,,21
2023-03-11T12:30:02.000Z,Naija Loud Mouth,@naija_loudmouth,"God's will is Godswill Akpabio!! #GodswillAkapabio for Senate 
akwa ibom apc tinubu shettima 2023 Elections obi nigeria lagos akawibomtwitter",,,,26
2023-03-11T12:24:01.000Z,Naija Loud Mouth,@naija_loudmouth,"God's will is Godswill Akpabio!! #GodswillAkapabio for Senate 
akwa ibom apc tinubu shettima 2023 Elections obi nigeria lagos akawibomtwitter",,,,14
2023-03-11T12:18:01.000Z,Naija Loud Mouth,@naija_loudmouth,"God's will is Godswill Akpabio!! #GodswillAkapabio for Senate 
akwa ibom apc tinubu shettima 2023 Elections obi nigeria lagos akawibomtwitter",,,,15
2023-03-11T12:00:04.000Z,Naija Loud Mouth,@naija_loudmouth,"God's will is Godswill Akpabio!! #GodswillAkapabio for Senate 
akwa ibom apc tinubu shettima 2023 Elections obi nigeria lagos akawibomtwitter",,,,26
2023-03-11T11:54:02.000Z,Naija Loud Mouth,@naija_loudmouth,"God's will is Godswill Akpabio!! #GodswillAkapabio for Senate 
akwa ibom apc tinubu shettima 2023 Elections obi nigeria lagos akawibomtwitter",,,,24
2023-03-11T11:53:25.000Z,lambert iheofor,@LIheofor,Red Handed.. Technology in this 2023 elections has become an Achilles Heel against INEC.. Data are never ever ever ever lost,1,,,52
2023-03-11T11:48:29.000Z,2023 Elections in Pakistan,@Dirty_Harry_pak,Sheikh Waqas Akram joined Pakistan Tehreek-e-Insaf,,,,60
2023-03-11T11:48:01.000Z,Naija Loud Mouth,@naija_loudmouth,"God's will is Godswill Akpabio!! #GodswillAkapabio for Senate 
akwa ibom apc tinubu shettima 2023 Elections obi nigeria lagos akawibomtwitter",,,,26
2023-03-11T11:42:01.000Z,Naija Loud Mouth,@naija_loudmouth,"God's will is Godswill Akpabio!! #GodswillAkapabio for Senate 
akwa ibom apc tinubu shettima 2023 Elections obi nigeria lagos akawibomtwitter",,,,27
2023-03-11T11:37:01.000Z,AllNews Nigeria,@allnewsngr,2023 Elections: INEC Chairman Threatens Lawsuit Over Allegations Of Infractions,,1,1,41
2023-03-11T11:36:01.000Z,Naija Loud Mouth,@naija_loudmouth,"God's will is Godswill Akpabio!! #GodswillAkapabio for Senate 
akwa ibom apc tinubu shettima 2023 Elections obi nigeria lagos akawibomtwitter",,,,25
2023-03-11T11:35:03.000Z,Engr Amu Joseph Okim,@amu_okim,"Please read this post from Channels Television:  2023 Elections: Only INEC Can Determine Mode Of Collating, Transmitting Results  Court.",,,,2
2023-03-11T11:34:16.000Z,Newtelegraphng,@NewTelegraphNIG,BBTitans: How 2023 Elections Reduce Chances Of Nigerian Housemates,1,,,43
2023-03-11T11:31:40.000Z,Melody Chakatsva,@MelodyChakatsva,"We are now in extra time golden goal period for the 2023 elections. It's ""touch tamba"". If you are a TEAM player even if your team leader does a back pass, its NOT the time to argue with his/her LOGIC. It's time to TRUST the process and keep the opponent under pressure!",3,,,220
2023-03-11T11:12:02.000Z,Naija Loud Mouth,@naija_loudmouth,"God's will is Godswill Akpabio!! #GodswillAkapabio for Senate 
akwa ibom apc tinubu shettima 2023 Elections obi nigeria lagos akawibomtwitter",,,,20
2023-03-11T11:06:01.000Z,Naija Loud Mouth,@naija_loudmouth,"God's will is Godswill Akpabio!! #GodswillAkapabio for Senate 
akwa ibom apc tinubu shettima 2023 Elections obi nigeria lagos akawibomtwitter",,,,21
2023-03-11T11:01:44.000Z,thephysicist,@thephysicist9,"The military will not be used, only the containers to block off roads. Not saying I agree, but you will not see any soldiers against civilians, ME more likely. 
@EvaVlaar
 et al can be a bit dramatic. Other reason 15 March 2023 elections.

GO #dutchfarmers",1,1,,102
2023-03-11T11:01:00.000Z,Rest of World,@restofworld,"Cambodia's prime minister has held power in some capacity since 1985, making him one of the longest-serving leaders in the world. The draft law would expand his ability to censor critics and bolster control of the internet ahead of the July 2023 elections",3,,1,"1,623"
2023-03-11T11:00:04.000Z,Naija Loud Mouth,@naija_loudmouth,"God's will is Godswill Akpabio!! #GodswillAkapabio for Senate 
akwa ibom apc tinubu shettima 2023 Elections obi nigeria lagos akawibomtwitter",,,,18
2023-03-11T10:59:00.000Z,Lyrical Lyrika,@LyricalLyrika,Imagine non-entities advising. Politics and 2023 elections have revealed the worst of Nigerians. Let no one come and spew trash that we shouldn't sever ties because of political views and actions. I can't harbour evil people whose ideas destroy the integrity of our Nation.,,,,1
2023-03-11T10:57:27.000Z,Samuel Aken,@SamuelAken1,You will definitely need the youths some day. The name Obidient is just for 2023 elections not basically for Peter Obi but for a new Nigeria. The youths are out to take the country out of cruel hands.,,,,4
2023-03-11T10:54:01.000Z,Naija Loud Mouth,@naija_loudmouth,"God's will is Godswill Akpabio!! #GodswillAkapabio for Senate 
akwa ibom apc tinubu shettima 2023 Elections obi nigeria lagos akawibomtwitter",,,,17
2023-03-11T10:53:17.000Z,Captain,@ugwuudoka,2023 Elections: Don't forget that the voters also constitute  VAI (Video Assistant INEC) and can also redirect INEC when they derailed.,,,,4
2023-03-11T10:48:01.000Z,Naija Loud Mouth,@naija_loudmouth,"God's will is Godswill Akpabio!! #GodswillAkapabio for Senate 
akwa ibom apc tinubu shettima 2023 Elections obi nigeria lagos akawibomtwitter",,,,21
2023-03-11T10:42:01.000Z,Naija Loud Mouth,@naija_loudmouth,"God's will is Godswill Akpabio!! #GodswillAkapabio for Senate 
akwa ibom apc tinubu shettima 2023 Elections obi nigeria lagos akawibomtwitter",,,,29
2023-03-11T10:36:02.000Z,Naija Loud Mouth,@naija_loudmouth,"God's will is Godswill Akpabio!! #GodswillAkapabio for Senate 
akwa ibom apc tinubu shettima 2023 Elections obi nigeria lagos akawibomtwitter",,,,27
2023-03-11T10:32:50.000Z,Mind of Christ,@CNCDaniels,"I thank God for 2023 elections. It revealed bigots nd pple wit dead consciences. 

I've blocked business associates nd supposed friends.

I can't trust ur judgment nd character if u support brazen theft nd illegality jst because d perpetrator connects tribally/religiously to u.",14,1,2,263
2023-03-11T10:32:45.000Z,The Skuup,@TSkuup,"The PDP has called for the resignation of the National Chairman of INEC Prof. Mahmood Yakubu. Its National Publicity Secretary, Debo Ologunagba said, that would help in “restoring the confidence of Nigerians” especially as the nation prepares for the March 18, 2023 elections.",,,,20
2023-03-11T10:16:33.000Z,C3RTIFI3D MEDIA,@C3rtifi3d_Media,"2023 Elections: igibnedion university, okada shifts resumption date",,,,25
2023-03-11T10:16:33.000Z,C3RTIFI3D MEDIA,@C3rtifi3d_Media,2023 ELECTIONS: UNIVERSITY OF CALABAR SHIFTS RESUMPTION DATE,,,,31
2023-03-11T10:16:32.000Z,C3RTIFI3D MEDIA,@C3rtifi3d_Media,2023 Elections: confluence university of science and technology (CRUTECH) shifts resumption date,,,,30
2023-03-11T10:12:01.000Z,Naija Loud Mouth,@naija_loudmouth,"God's will is Godswill Akpabio!! #GodswillAkapabio for Senate 
akwa ibom apc tinubu shettima 2023 Elections obi nigeria lagos akawibomtwitter",,,,17
2023-03-11T10:11:55.000Z,Dr. N. T. A. Azeez,@adegokegalaxy,"Supreme court is never going to annul the 2023 elections.

There will be ""technicalities"" to make the elections stand.

I believe Tinubu can be disqualified on ""technical"" ground though.

This should be the core focus of your petition.

Don't say I didn't tell you o.",,,2,160
2023-03-11T10:06:01.000Z,Naija Loud Mouth,@naija_loudmouth,"God's will is Godswill Akpabio!! #GodswillAkapabio for Senate 
akwa ibom apc tinubu shettima 2023 Elections obi nigeria lagos akawibomtwitter",,,,15
2023-03-11T10:00:10.000Z,Naija Loud Mouth,@naija_loudmouth,"God's will is Godswill Akpabio!! #GodswillAkapabio for Senate 
akwa ibom apc tinubu shettima 2023 Elections obi nigeria lagos akawibomtwitter",,,,16
2023-03-11T09:59:54.000Z,Mamocious,@ant_moh,"Mahmood Yakubu has not covered himself in glory with the reckless way he has handled 2023 elections so far, he should vacate his position for the unity of our country. ",,,,21
2023-03-11T09:59:14.000Z,ideamine group,@IdeamineG,Nitin ji … bgl needs ORR and STRR and waiting for 12 years … bgl will teach bjp during this 2023 elections and at that time do not cry sir,,,,6
2023-03-11T09:55:19.000Z,Akewusolaf Blog,@AkewusolafBNG,"2023 Elections: INEC threatens to sue PDP, others over libelous attacks on Yakubu

https://buff.ly/3l4j4ka

Wike Sasha Africa for Yvonne Davido #DataCleaningchallenge #Emefiele Tinubu and Atiku BVAS Juju Punter 1xbet Pounded Don Jazzy Asake Desmond Okoye Buju Borno Kane Seyi Opay",1,,,313
2023-03-11T09:55:15.000Z,Awesome Indeed,@awesome_indeed,"@_AfricanUnion
 @SADC_News
 ...please wake up and go supervise #Zimbabwe 2023 elections for credible results...
Do something,  for once....",,,,14
2023-03-11T09:42:01.000Z,Naija Loud Mouth,@naija_loudmouth,"God's will is Godswill Akpabio!! #GodswillAkapabio for Senate 
akwa ibom apc tinubu shettima 2023 Elections obi nigeria lagos akawibomtwitter",,,,8
2023-03-11T09:41:26.000Z,Eddie D. Jarwolo,@DJarwolo,"Election is everyone business. Young women from 
@Naymoteliberia
 are mobilizing first time voters to register for the October 2023 elections in Liberia.
We are targeting thousands of young voters. Thank you 
@SwedeninLiberia
 for the support.",12,2,2,425
2023-03-11T09:39:44.000Z,mawarire mbizvo jealousy,@mawarirej,"Cde, any reforms done less than 6 months b4 the 2023 elections are not enforceable for the 2023 harmonized elections.",22,5,1,"3,898"
2023-03-11T09:36:02.000Z,Naija Loud Mouth,@naija_loudmouth,"God's will is Godswill Akpabio!! #GodswillAkapabio for Senate 
akwa ibom apc tinubu shettima 2023 Elections obi nigeria lagos akawibomtwitter",,,,14
2023-03-11T09:35:52.000Z,Alfred Pahla,@arupahla,"Seems u tired of ZanuPF u really want CCC to have structures and succeed in 2023 elections but unfortunately they don’t listen, fortunately our prayers were answered let’s dump ZanuPF n CCC and vote for 
@DrivenChapman
 ",5,2,,529
2023-03-11T09:30:01.000Z,Naija Loud Mouth,@naija_loudmouth,"God's will is Godswill Akpabio!! #GodswillAkapabio for Senate 
akwa ibom apc tinubu shettima 2023 Elections obi nigeria lagos akawibomtwitter",,,,9
2023-03-11T09:29:01.000Z,Naveen Sharma,@ns26494,"Koi issue nahi hai to fight 2023 elections so govt k khilaf mahol banao. Media ka acha support mil raha hai.Par media sanjivani society k issue par kyun shant hai Wahan logon k Zindagi karab nahi hui hai kya. Media bhi khul k BJP support kar de Woh acha hoga. 
@ashokgehlot51",1,,1,35
2023-03-11T09:24:36.000Z,Nhlanhlayamangwe Felix Ndiweni,@FelixNdiweni,"The Opposition will win the 2023 elections. The question is Zanu PF going to abide by our Constitution and vacate State House. Hence our call to reject calls of "" Unity"" from Zanu PF since it is conditional to us accepting a fraudulent claim of electoral victory by Zanu PF",13,2,4,674
2023-03-11T09:24:01.000Z,Naija Loud Mouth,@naija_loudmouth,"God's will is Godswill Akpabio!! #GodswillAkapabio for Senate 
akwa ibom apc tinubu shettima 2023 Elections obi nigeria lagos akawibomtwitter",,,,9
2023-03-11T09:18:01.000Z,Naija Loud Mouth,@naija_loudmouth,"God's will is Godswill Akpabio!! #GodswillAkapabio for Senate 
akwa ibom apc tinubu shettima 2023 Elections obi nigeria lagos akawibomtwitter",,,,7
2023-03-11T09:12:00.000Z,Naija Loud Mouth,@naija_loudmouth,"God's will is Godswill Akpabio!! #GodswillAkapabio for Senate 
akwa ibom apc tinubu shettima 2023 Elections obi nigeria lagos akawibomtwitter",,,,7
